weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,no_of_rounds_3,no_of_rounds_4,no_of_rounds_5,title_bout,Winner,B_current_lose_streak,B_age_ratio,B_current_win_streak,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_ratio,B_Reach_ratio,B_Weight_ratio,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,False,0,0.0,0.38633776091081573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4809796769150596,0.4635798983625068,0.4268204758471521,0.2857142857142857,0.0,0.125,0.5,0.36250000000000004,0.0625,0.0,0.2,0.0,0.36363636363636365,0.0,0.0,0.25
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,False,0,0.0,0.44645161290322577,0.16666666666666666,0.125,0.23076923076923078,0.24000000000000002,0.0,0.0,0.0,0.30000000000000004,0.09090909090909091,0.09090909090909091,0.0,0.21739130434782608,0.3474635793098755,0.37585943468296357,0.4268204758471521,0.14285714285714285,0.0,0.1875,0.14285714285714285,0.225,0.0,0.0,0.2,0.30000000000000004,0.0,0.0,0.0,0.2
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,False,1,0.16666666666666666,0.3080645161290322,0.0,0.1875,0.3076923076923077,0.36000000000000004,0.0625,0.0,0.0,0.1,0.4545454545454546,0.09090909090909091,0.0,0.30434782608695654,0.44109824516286134,0.3940489889856975,0.4268204758471521,0.14285714285714285,0.0,0.375,0.3571428571428571,0.47500000000000003,0.1875,0.0,0.0,0.30000000000000004,0.4545454545454546,0.15384615384615385,0.0,0.5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,False,1,0.0,0.0992555831265508,0.25,0.1875,0.0,0.09333333333333334,0.0,0.0,0.0,0.2,0.09090909090909091,0.0,0.0,0.13043478260869565,0.6071798239665345,0.4690120006575702,0.4268204758471521,0.42857142857142855,0.0,0.1875,0.3571428571428571,0.2625,0.0,0.0,0.0,0.1,0.2727272727272727,0.0,1.0,0.30000000000000004
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False,0,0.0,0.2477419354838709,0.08333333333333333,0.0625,0.07692307692307693,0.04,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.043478260869565216,0.39324052706022394,0.3419913419913416,0.4268204758471521,0.0,0.0625,0.1875,0.07142857142857142,0.1375,0.0,0.0,0.2,0.1,0.09090909090909091,0.07692307692307693,0.0,0.2
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,False,1,0.0,0.28145161290322573,0.08333333333333333,0.0625,0.23076923076923078,0.13333333333333333,0.0,0.0,0.0,0.1,0.0,0.09090909090909091,0.0,0.08695652173913043,0.5254850427834543,0.548794063079777,0.4268204758471521,0.0,0.125,0.125,0.14285714285714285,0.15000000000000002,0.0,0.0,0.2,0.0,0.18181818181818182,0.0,0.0,0.15000000000000002
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,False,0,0.0,0.2239334027055151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8116887802140536,0.6352343308865045,0.4268204758471521,0.42857142857142855,0.0,0.0,0.21428571428571427,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,False,1,0.0,0.3612903225806451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612588401697312,0.5887445887445888,0.4268204758471521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,False,1,0.16666666666666666,0.3612903225806451,0.0,0.0625,0.23076923076923078,0.17333333333333334,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.08695652173913043,0.4809796769150596,0.2949907235621514,0.4268204758471521,0.2857142857142857,0.0,0.0,0.14285714285714285,0.05,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False,1,0.0,0.6549499443826473,0.3333333333333333,0.25,0.07692307692307693,0.18666666666666668,0.0625,0.0,0.2,0.1,0.09090909090909091,0.18181818181818182,0.0,0.21739130434782608,0.5687188267698944,0.7179962894248604,0.4268204758471521,0.0,0.0625,0.1875,0.21428571428571427,0.275,0.0,0.5,0.2,0.2,0.18181818181818182,0.0,0.0,0.30000000000000004
